vertices,edges,max_flow,dfs vertices,dfs edges,dfs time (ms),bfs vertices,bfs edges,bfs time (ms),fat vertices,fat edges,fat time (ms)
10000,10000,0,19998,2,21.0372,19998,2,21.4957,19998,2,21.6081
10000,10000,0,19998,2,7.7694,19998,2,7.654,19998,2,7.4767
10000,10000,0,19998,2,7.2524,19998,2,7.0216,19998,2,7.1193
10000,5009000,66030,10707710975,578773712,178441,276766928,13486809,71585.7,10960120510,549436355,33968.1
10000,10008000,130680,8000421300,817087083,151742,271431329,25662646,135672,33911267749,3394284519,147871
10000,5009000,66030,10707710975,578773712,180073,276766928,13486809,72103,10960120510,549436355,34256.6
10000,40002000,511646,1199853968,404729357,60334,323426132,97235248,509614,32227693682,12886472295,194155
10000,5009000,66030,10707710975,578773712,180080,276766928,13486809,72947.3,10960120510,549436355,36355.8
10000,10008000,130680,8000421300,817087083,152861,271431329,25662646,137866,33911267749,3394284519,151044
10000,20006000,261813,4046022642,760532413,117888,290522741,51144694,269675,94241808798,18857933192,543440
10000,50000000,631705,728579815,292702943,52859.1,340125855,117513627,611975,42213683564,21095295226,270187
10000,59998000,759801,551030780,252021507,53582.7,366303167,140032814,740120,45603177095,27343577066,272592
10000,69996000,877906,459441964,234229056,45574.7,382041775,158219448,826568,52337728956,36614797239,288953
10000,89992000,1138699,383621998,234108923,23343.2,414805550,195431512,1.00893e+06,63416417500,57033272019,241953
10000,10008000,130680,8000421300,817087083,146108,271431329,25662646,125794,33911267749,3394284519,148202
10000,79994000,1016051,428790589,239857112,39460.6,409014987,180657495,938469,78845061283,63043474591,362158
10000,30004000,378257,1913190525,511855555,79155.2,295902443,72394418,380629,131886484048,39571576326,890978
10000,40002000,511646,1199853968,404729357,60401.1,323426132,97235248,481168,32227693682,12886472295,194641
10000,94991000,1206466,370599251,235479320,16976.7,432110724,206905491,1.06116e+06,142320221720,135145270627,467050
10000,99990000,1271622,375035168,218683612,244034,438483470,216168041,1.09574e+06,95848700474,95795076149,205752
10000,20006000,261813,4046022642,760532413,112417,290522741,51144694,255157,94241808798,18857933192,526177
10000,50000000,631705,728579815,292702943,49797.3,340125855,117513627,578496,42213683564,21095295226,263702
10000,15007000,184682,5198963601,756274176,114110,271432459,37288163,181952,74615992941,11202306431,398649
10000,59998000,759801,551030780,252021507,49822,366303167,140032814,685895,45603177095,27343577066,269981
10000,40002000,511646,1199853968,404729357,56354.2,323426132,97235248,470149,32227693682,12886472295,192834
10000,69996000,877906,459441964,234229056,42863.6,382041775,158219448,771866,52337728956,36614797239,289148
10000,89992000,1138699,383621998,234108923,24361.6,414805550,195431512,944599,63416417500,57033272019,247697
10000,79994000,1016051,428790589,239857112,37525.2,409014987,180657495,870630,78845061283,63043474591,365071
10000,30004000,378257,1913190525,511855555,75950.5,295902443,72394418,349672,131886484048,39571576326,880297
10000,15007000,184682,5198963601,756274176,112676,271432459,37288163,182520,74615992941,11202306431,410615
10000,20006000,261813,4046022642,760532413,112051,290522741,51144694,249731,94241808798,18857933192,536440
10000,50000000,631705,728579815,292702943,49062.8,340125855,117513627,579637,42213683564,21095295226,268148
10000,94991000,1206466,370599251,235479320,15612.1,432110724,206905491,1.00493e+06,142320221720,135145270627,456734
10000,99990000,1271622,375035168,218683612,226307,438483470,216168041,1.04833e+06,95848700474,95795076149,204948
10000,59998000,759801,551030780,252021507,49543.7,366303167,140032814,685467,45603177095,27343577066,268394
10000,69996000,877906,459441964,234229056,42556,382041775,158219448,769360,52337728956,36614797239,291221
10000,15007000,184682,5198963601,756274176,109006,271432459,37288163,181899,74615992941,11202306431,400837
10000,25005000,325765,3056883672,694499654,94932.5,295822932,62580024,300500,53609813384,13402345295,303853
10000,89992000,1138699,383621998,234108923,21761.2,414805550,195431512,924918,63416417500,57033272019,230655
10000,79994000,1016051,428790589,239857112,36346.8,409014987,180657495,848902,78845061283,63043474591,342088
10000,30004000,378257,1913190525,511855555,74421.3,295902443,72394418,347646,131886484048,39571576326,853622
10000,25005000,325765,3056883672,694499654,87809.7,295822932,62580024,258362,53609813384,13402345295,291850
10000,99990000,1271622,375035168,218683612,223549,438483470,216168041,895301,95848700474,95795076149,182912
10000,94991000,1206466,370599251,235479320,15441.7,432110724,206905491,894701,142320221720,135145270627,423181
10000,45001000,567802,986035441,371647018,71632.1,328966393,106699291,522800,209107855722,94091937188,1.54962e+06
10000,74995000,949175,448795447,239622031,38008,393209269,168483052,687485,58154757695,43584651399,275795
10000,35003000,445618,1606715875,486412932,60416,310022997,84709892,329788,45998977339,16098070394,252256
10000,25005000,325765,3056883672,694499654,81227.5,295822932,62580024,236761,53609813384,13402345295,270461
10000,35003000,445618,1606715875,486412932,49938.8,310022997,84709892,242504,45998977339,16098070394,246665
10000,74995000,949175,448795447,239622031,25996.1,393209269,168483052,504038,58154757695,43584651399,250937
10000,54999000,682077,658517958,284239716,67426.2,346325145,126297266,602408,253316806057,139295661771,1.80654e+06
10000,64997000,816425,499659939,240755347,58208.1,375763170,149246412,655809,282451711576,183559577602,1.77968e+06
10000,35003000,445618,1606715875,486412932,45794.7,310022997,84709892,240524,45998977339,16098070394,244516
10000,74995000,949175,448795447,239622031,22895.8,393209269,168483052,479111,58154757695,43584651399,244790
10000,84993000,1084025,405227804,233137124,59059.2,416162499,188930049,676710,344298235102,292615268517,1.40615e+06
10000,45001000,567802,986035441,371647018,47047.7,328966393,106699291,323724,209107855722,94091937188,1.39606e+06
10000,54999000,682077,658517958,284239716,40653.3,346325145,126297266,358929,253316806057,139295661771,1.67229e+06
10000,64997000,816425,499659939,240755347,35324.2,375763170,149246412,404735,282451711576,183559577602,1.66383e+06
10000,45001000,567802,986035441,371647018,39529.4,328966393,106699291,278536,209107855722,94091937188,1.36606e+06
10000,84993000,1084025,405227804,233137124,40127.5,416162499,188930049,490282,344298235102,292615268517,1.35747e+06
10000,54999000,682077,658517958,284239716,36557.6,346325145,126297266,336827,253316806057,139295661771,1.64125e+06
10000,84993000,1084025,405227804,233137124,38921.2,416162499,188930049,476359,344298235102,292615268517,1.31524e+06
10000,64997000,816425,499659939,240755347,33262.6,375763170,149246412,383659,282451711576,183559577602,1.62351e+06
